,Utilisateur,Date,Heure,Action,Attribut
36456,tdelille,2009-04-04,17:21:23,Répondre à un message test,IDFORUMTEST=329
36457,tdelille,2009-04-04,17:21:23,Répondre à un message test,IDMSGTEST=2571
36458,tdelille,2009-04-04,17:21:23,Répondre à un message test,IDPARENTTEST=2566
36459,tdelille,2009-04-04,17:21:23,Citer un message,IDFORUMTEST=329
36460,tdelille,2009-04-04,17:21:23,Citer un message,IDMSGTEST=2566
36461,ddaniaupotter,2009-04-04,17:21:48,Afficher une structure (cours/forum),IDFORUMTEST=329
36462,ddaniaupotter,2009-04-04,17:21:56,Afficher le contenu d''un message,IDFORUMTEST=329
36463,ddaniaupotter,2009-04-04,17:21:56,Afficher le contenu d''un message,IDMSGTEST=2571
36464,gachort,2009-04-04,18:04:03,Afficher une structure (cours/forum),IDFORUMTEST=344
36465,gachort,2009-04-04,18:04:10,Afficher une structure (cours/forum),IDFORUMTEST=344
36466,gachort,2009-04-04,18:04:17,Afficher le contenu d''un message,IDFORUMTEST=344
36467,gachort,2009-04-04,18:04:17,Afficher le contenu d''un message,IDMSGTEST=2570
36468,gachort,2009-04-04,18:04:32,Afficher une structure (cours/forum),IDFORUMTEST=329
36469,gachort,2009-04-04,18:04:40,Afficher le contenu d''un message,IDFORUMTEST=329
36470,gachort,2009-04-04,18:04:40,Afficher le contenu d''un message,IDMSGTEST=2571
36471,gachort,2009-04-04,18:05:02,Afficher une structure (cours/forum),IDFORUMTEST=354
36472,gachort,2009-04-04,18:07:31,Poster un nouveau message test,IDFORUMTEST=354
36473,gachort,2009-04-04,18:07:31,Poster un nouveau message test,IDMSGTEST=2572
36474,gachort,2009-04-04,18:07:31,Upload un ficher avec le message,IDFORUMTEST=354
